"GEOGRAPHY_CODE","C2021_HIQUAL_8_NAME","OBS_VALUE"
"E02000364","Level 1 and entry level qualifications",379
"E02000364","Level 2 qualifications",568
"E02000364","Apprenticeship",186
"E02000364","Level 3 qualifications",884
"E02000364","Level 4 qualifications or above",4619
"E02000364","Other qualifications",152
"E02000366","Total: All usual residents aged 16 years and over",6856
"E02000366","No qualifications",1255
"E02000366","Level 1 and entry level qualifications",437
"E02000366","Level 2 qualifications",673
"E02000366","Apprenticeship",165
"E02000366","Level 3 qualifications",884
"E02000366","Level 4 qualifications or above",3302
"E02000366","Other qualifications",140
"E02000367","Total: All usual residents aged 16 years and over",8899
"E02000367","No qualifications",998
"E02000367","Level 1 and entry level qualifications",403
"E02000367","Level 2 qualifications",602
"E02000367","Apprenticeship",165
"E02000367","Level 3 qualifications",1022
"E02000367","Level 4 qualifications or above",5521
"E02000367","Other qualifications",188
"E02000368","Total: All usual residents aged 16 years and over",8182
"E02000368","No qualifications",1625
"E02000368","Level 1 and entry level qualifications",569
"E02000368","Level 2 qualifications",702
"E02000368","Apprenticeship",166
"E02000368","Level 3 qualifications",991
"E02000368","Level 4 qualifications or above",3922
"E02000368","Other qualifications",207
"E02000369","Total: All usual residents aged 16 years and over",11252
"E02000369","No qualifications",1666
"E02000369","Level 1 and entry level qualifications",606
"E02000369","Level 2 qualifications",824
"E02000369","Apprenticeship",251
"E02000369","Level 3 qualifications",1207
"E02000369","Level 4 qualifications or above",6406
"E02000369","Other qualifications",292
"E02000370","Total: All usual residents aged 16 years and over",7455
"E02000370","No qualifications",1195
"E02000370","Level 1 and entry level qualifications",451
"E02000370","Level 2 qualifications",560
"E02000370","Apprenticeship",186
"E02000370","Level 3 qualifications",819
"E02000370","Level 4 qualifications or above",4060
"E02000370","Other qualifications",184
"E02000864","Total: All usual residents aged 16 years and over",9181
"E02000864","No qualifications",1631
"E02000864","Level 1 and entry level qualifications",608
"E02000864","Level 2 qualifications",801
"E02000864","Apprenticeship",191
"E02000864","Level 3 qualifications",1240
"E02000864","Level 4 qualifications or above",4456
"E02000864","Other qualifications",254
"E02000865","Total: All usual residents aged 16 years and over",6436
"E02000865","No qualifications",1363
"E02000865","Level 1 and entry level qualifications",493
"E02000865","Level 2 qualifications",656
"E02000865","Apprenticeship",139
"E02000865","Level 3 qualifications",800
